timestamp_ms,room_temp,ambient_temp,humidity,leak_pct,leak_alert,cooling,valve_pct,power_mW,energy_mWh,sensor_fault
348435,5.86,31.9,40.0,0,0,1,70,9864.0,460336.03,0
349435,5.86,31.9,40.0,0,0,1,70,9864.0,461322.44,0
350435,5.86,32.0,40.0,0,0,1,70,9864.0,462308.84,0
351435,5.86,32.0,40.0,0,0,1,70,9864.0,463295.25,0
352435,5.86,32.0,40.0,0,0,1,70,9864.0,464281.66,0
353435,5.87,32.0,40.0,0,0,1,71,29064.0,467188.06,0
354435,5.87,32.0,40.0,0,0,1,71,9864.0,468174.47,0
355435,5.87,32.1,40.0,0,0,1,71,9864.0,469160.88,0
356435,5.87,32.1,40.0,0,0,1,71,9864.0,470147.28,0
357435,5.87,32.1,40.0,0,0,1,71,9864.0,471133.69,0
358435,5.87,32.1,40.0,0,0,1,71,9864.0,472120.09,0
359435,5.87,32.1,40.0,0,0,1,71,9864.0,473106.50,0
360435,5.87,32.2,40.0,0,0,1,71,9864.0,474092.91,0
361435,5.88,32.2,40.0,0,0,1,71,9864.0,475079.31,0
362435,5.88,32.2,40.0,0,0,1,71,29064.0,477985.72,0
363435,5.88,32.2,40.0,0,0,1,71,9864.0,478972.13,0
364435,5.88,32.2,40.0,0,0,1,71,9864.0,479958.53,0
365435,5.88,32.3,40.0,0,0,1,71,9864.0,480944.94,0
366435,5.88,32.3,40.0,0,0,1,71,9864.0,481931.34,0
367435,5.88,32.3,40.0,0,0,1,71,9864.0,482917.75,0
368435,5.88,32.3,40.0,0,0,1,71,9864.0,483904.16,0
369435,5.88,32.3,40.0,0,0,1,71,9864.0,484890.56,0
370435,5.89,32.4,40.0,0,0,1,71,9864.0,485876.97,0
371435,5.89,32.4,40.0,0,0,1,71,9864.0,486863.38,0
372435,5.89,32.4,40.0,0,0,1,71,9864.0,487849.78,0
373435,5.89,32.4,40.0,0,0,1,72,29064.0,490756.19,0
374435,5.89,32.4,40.0,0,0,1,72,9864.0,491742.59,0
375435,5.89,32.5,40.0,0,0,1,72,9864.0,492729.00,0
376435,5.89,32.5,40.0,0,0,1,72,9864.0,493715.41,0
377435,5.89,32.5,40.0,0,0,1,72,9864.0,494701.81,0
378435,5.89,32.5,40.0,0,0,1,72,9864.0,495688.22,0
379435,5.90,32.5,40.0,0,0,1,72,9864.0,496674.63,0
380435,5.90,32.6,40.0,0,0,1,72,9864.0,497661.03,0
381435,5.90,32.6,40.0,0,0,1,72,9864.0,498647.44,0
382435,5.90,32.6,40.0,0,0,1,72,29064.0,501553.84,0
383435,5.90,32.6,40.0,0,0,1,72,9864.0,502540.25,0
384435,5.90,32.6,40.0,0,0,1,72,9864.0,503526.66,0
385435,5.90,32.7,40.0,0,0,1,72,9864.0,504513.06,0
386435,5.90,32.7,40.0,0,0,1,72,9864.0,505499.47,0
387435,5.91,32.7,40.0,0,0,1,72,9864.0,506485.88,0
388435,5.91,32.7,40.0,0,0,1,72,9864.0,507472.28,0
389435,5.91,32.7,40.0,0,0,1,72,9864.0,508458.69,0
390435,5.91,32.8,40.0,0,0,1,72,9864.0,509445.09,0
391435,5.91,32.8,40.0,0,0,1,72,9864.0,510431.50,0
392435,5.91,32.8,40.0,0,0,1,73,29064.0,513337.91,0
393435,5.91,32.8,40.0,0,0,1,73,9864.0,514324.31,0
394435,5.91,32.8,40.0,0,0,1,73,9864.0,515310.72,0
395435,5.92,32.9,40.0,0,0,1,73,9864.0,516297.13,0
396435,5.92,32.9,40.0,0,0,1,73,9864.0,517283.53,0
397435,5.92,32.9,40.0,0,0,1,73,9864.0,518269.94,0
398435,5.92,32.9,40.0,0,0,1,73,9864.0,519256.34,0
399435,5.92,32.9,40.0,0,0,1,73,9864.0,520242.75,0
400435,5.92,33.0,40.0,0,0,1,73,9864.0,521229.16,0
401435,5.92,33.0,40.0,0,0,1,73,29064.0,524135.56,0
402435,5.92,33.0,40.0,0,0,1,73,9864.0,525121.94,0
403435,5.92,33.0,40.0,0,0,1,73,9864.0,526108.31,0
404435,5.93,33.0,40.0,0,0,1,73,9864.0,527094.69,0
405435,5.93,33.1,40.0,0,0,1,73,9864.0,528081.06,0
406435,5.93,33.1,40.0,0,0,1,73,9864.0,529067.44,0
407435,5.93,33.1,40.0,0,0,1,73,9864.0,530053.81,0
408435,5.93,33.1,40.0,0,0,1,73,9864.0,531040.19,0
409435,5.93,33.1,40.0,0,0,1,73,9864.0,532026.56,0
410435,5.93,33.2,40.0,0,0,1,73,9864.0,533012.94,0
411435,5.93,33.2,40.0,0,0,1,73,9864.0,533999.31,0
412435,5.94,33.2,40.0,0,0,1,74,29064.0,536905.69,0
413435,5.94,33.2,40.0,0,0,1,74,9864.0,537892.06,0
414435,5.94,33.2,40.0,0,0,1,74,9864.0,538878.44,0
415435,5.94,33.3,40.0,0,0,1,74,9864.0,539864.81,0
416435,5.94,33.3,40.0,0,0,1,74,9864.0,540851.19,0
417435,5.94,33.3,40.0,0,0,1,74,9864.0,541837.56,0
418435,5.94,33.3,40.0,0,0,1,74,9864.0,542823.94,0
419435,5.94,33.3,40.0,0,0,1,74,9864.0,543810.31,0
420435,5.95,33.4,40.0,0,0,1,74,9864.0,544796.69,0
421435,5.95,33.4,40.0,0,0,1,74,29064.0,547703.06,0
422435,5.95,33.4,40.0,0,0,1,74,9864.0,548689.44,0
423435,5.95,33.4,40.0,0,0,1,74,9864.0,549675.81,0
424435,5.95,33.4,40.0,0,0,1,74,9864.0,550662.19,0
425435,5.95,33.5,40.0,0,0,1,74,9864.0,551648.56,0
426435,5.95,33.5,40.0,0,0,1,74,9864.0,552634.94,0
427435,5.95,33.5,40.0,0,0,1,74,9864.0,553621.31,0
428435,5.95,33.5,40.0,0,0,1,74,9864.0,554607.69,0
429435,5.96,33.5,40.0,0,0,1,74,9864.0,555594.06,0
430435,5.96,33.6,40.0,0,0,1,74,9864.0,556580.44,0
431435,5.96,33.6,40.0,0,0,1,75,29064.0,559486.81,0
432435,5.96,33.6,40.0,0,0,1,75,9864.0,560473.19,0
433435,5.96,33.6,40.0,0,0,1,75,9864.0,561459.56,0
434435,5.96,33.6,40.0,0,0,1,75,9864.0,562445.94,0
435435,5.96,33.7,40.0,0,0,1,75,9864.0,563432.31,0
436435,5.96,33.7,40.0,0,0,1,75,9864.0,564418.69,0
437435,5.97,33.7,40.0,0,0,1,75,9864.0,565405.06,0
438435,5.97,33.7,40.0,0,0,1,75,9864.0,566391.44,0
439435,5.97,33.7,40.0,0,0,1,75,9864.0,567377.81,0
440435,5.97,33.8,40.0,0,0,1,75,9864.0,568364.19,0
441435,5.97,33.8,40.0,0,0,1,75,29064.0,571270.56,0
442435,5.97,33.8,40.0,0,0,1,75,9864.0,572256.94,0
443435,5.97,33.8,40.0,0,0,1,75,9864.0,573243.31,0
444435,5.97,33.8,40.0,0,0,1,75,9864.0,574229.69,0
